Channel/Home Team,Game
GSW,SAS @ GSW
DEN,UTA @ DEN
POR,TOR @ POR
LAC,MIL @ LAC
ATL,NOP @ ATL
MIA,WAS @ MIA
NYK,PHI @ NYK
ORL,IND @ ORL
SAC,HOU @ SAC
ESPN,BKN @ CLE
OKC,MEM @ OKC
ESPN,MIN @ LAL
DET,CHA @ DET
CLE,PHX @ CLE
CHI,DAL @ CHI
NBA TV,GSW @ SAS
DEN,TOR @ DEN
NBA TV,BOS @ POR
TNT,PHI @ NYK
MEM,WAS @ MEM
OKC,IND @ OKC
SAS,HOU @ SAS
UTA,BOS @ UTA
TNT,MIN @ LAC
SAC,MIL @ SAC
DET,TOR @ DET
ORL,BKN @ ORL
IND,CHI @ IND
ESPN,DEN @ MIA
MEM,CHA @ MEM
NOP,CLE @ NOP
DAL,GSW @ DAL
POR,ATL @ POR
ESPN,LAL @ SAC
TNT,PHX @ BOS
CHI,LAC @ CHI
HOU,WAS @ HOU
MIL,PHI @ MIL
TNT,DAL @ OKC
POR,NYK @ POR
NBA TV,PHX @ CHA
DET,MIA @ DET
TOR,ORL @ TOR
NOP,LAC @ NOP
SAS,DEN @ SAS
NBA TV,ATL @ UTA
HOU,CLE @ HOU
IND,BKN @ IND
PHI,CHA @ PHI
NOP,POR @ NOP
CHI,WAS @ CHI
MEM,OKC @ MEM
ABC,GSW @ LAL
UTA,MIN @ UTA
SAC,NYK @ SAC
ABC,PHX @ MIL
DET,MIA @ DET
ABC,DEN @ DAL
ORL,TOR @ ORL
WAS,BOS @ WAS
NBA TV,BKN @ SAS
NBA TV,ATL @ LAC
IND,CLE @ IND
BOS,DET @ BOS
ESPN,MIA @ PHI
CHI,POR @ CHI
UTA,MIN @ UTA
ESPN,NYK @ GSW
SAC,MEM @ SAC
LAL,ATL @ LAL
ORL,CHA @ ORL
WAS,HOU @ WAS
BKN,NOP @ BKN
SAS,DAL @ SAS
NBA TV,DEN @ MIN
CLE,MIA @ CLE
DET,IND @ DET
ESPN,MIL @ BOS
TOR,SAC @ TOR
OKC,UTA @ OKC
ESPN,MEM @ GSW
PHX,PHI @ PHX
POR,LAC @ POR
ORL,NOP @ ORL
WAS,SAC @ WAS
HOU,CHI @ HOU
NBA TV,BKN @ MIL
DAL,UTA @ DAL
DEN,NYK @ DEN
NBA TV,ATL @ PHX
DET,BOS @ DET
TOR,OKC @ TOR
NBA TV,NOP @ MIA
MIN,CLE @ MIN
SAS,MEM @ SAS
GSW,IND @ GSW
POR,LAC @ POR
NBA TV,PHI @ LAL
NYK,BKN @ NYK
ORL,SAC @ ORL
ATL,CHA @ ATL
WAS,TOR @ WAS
CHI,BOS @ CHI
HOU,UTA @ HOU
NBA TV,PHX @ SAS
POR,DEN @ POR
DET,NOP @ DET
LAC,PHI @ LAC
MIA,CLE @ MIA
NBA TV,OKC @ MIL
MIN,GSW @ MIN
NBA TV,IND @ LAL
CLE,CHA @ CLE
NBA TV,BOS @ ATL
NYK,DET @ NYK
TOR,BKN @ TOR
CHI,WAS @ CHI
HOU,POR @ HOU
SAS,PHX @ SAS
DEN,MEM @ DEN
UTA,DAL @ UTA
NBA TV,PHI @ SAC
LAC,IND @ LAC
MIA,GSW @ MIA
TNT,LAL @ MIL
NOP,OKC @ NOP
